index,valid_time,number,expver,rain_mm,rain_3d,rain_5d,rain_7d,rain_30d
0,1970-01-01,0,1,0.0027834047,,,,
1,1970-01-02,0,1,3.12152e-05,,,,
2,1970-01-03,0,1,0.17049555,0.1733101699,,,
3,1970-01-04,0,1,0.37942827,0.5499550352,,,
4,1970-01-05,0,1,0.00060898694,0.55053280694,0.55334742684,,
5,1970-01-06,0,1,0.0034623875,0.38349964444,0.55402640964,,
6,1970-01-07,0,1,3.226619e-05,0.00410364063,0.5540274606300001,0.5568420805300001,
7,1970-01-08,0,1,0.24675186,0.25024651369,0.63028377063,0.80081053583,
8,1970-01-09,0,1,0.040650368,0.28743449419,0.29150586863,0.84142968863,
9,1970-01-10,0,1,0.19394423,0.481346458,0.48484111169,0.86487836863,
10,1970-01-11,0,1,0.38471755,0.619312148,0.86609627419,0.87016764863,
11,1970-01-12,0,1,0.29470107,0.87336285,1.160765078,1.16425973169,
12,1970-01-13,0,1,0.018101921,0.697520541,0.932115139,1.17889926519,
13,1970-01-14,0,1,1.45367885e-05,0.3128175277885,0.8914793077884999,1.1788815357884999,
14,1970-01-15,0,1,0.00089236017,0.0190088179585,0.6984274379585,0.9330220359585,
15,1970-01-16,0,1,0.008181178,0.009088074958500001,0.3218910659585,0.9005528459585,
16,1970-01-17,0,1,0.000111795474,0.009185333644000001,0.027301791432499944,0.7067204114325,
17,1970-01-18,0,1,0.07817286,0.086465833474,0.08737273043249993,0.4001757214325,
18,1970-01-19,0,1,6.632112e-05,0.078350976594,0.08742451476399996,0.1055409725525,
19,1970-01-20,0,1,1.0559904e-05,0.078249741024,0.08654271449799994,0.0874496114565,
20,1970-01-21,0,1,0.17673169,0.176808571024,0.2550932264979999,0.264166764668,
21,1970-01-22,0,1,0.0,0.176742249904,0.25498143102399995,0.263274404498,
22,1970-01-23,0,1,7.709758e-05,0.17680878758,0.17688566860399993,0.255170324078,
23,1970-01-24,0,1,7.0912824e-06,8.418886239999999e-05,0.17682643876639992,0.25506561988640003,
24,1970-01-25,0,1,5.4777625e-05,0.0001389664874,0.1768706564873999,0.1769475375114,
25,1970-01-26,0,1,0.14977138,0.14983324890740002,0.14991034648739993,0.3266525963914,
26,1970-01-27,0,1,0.118192494,0.268018651625,0.2681028404873999,0.4448345304874,
27,1970-01-28,0,1,0.00050077576,0.26846464976,0.2685265186673999,0.2686036162474,
28,1970-01-29,0,1,4.7125995e-05,0.11874039575499999,0.2685665533799999,0.2686507422424,
29,1970-01-30,0,1,0.0029646817,0.003512583455,0.2714764574549999,0.2715383263624,2.2715058049289
30,1970-01-31,0,1,0.0020181697,0.005029977395,0.12372324715499991,0.27354940478,2.2707405699289
31,1970-02-01,0,1,0.0,0.0049828514,0.005530753154999917,0.273494627155,2.2707093547289
32,1970-02-02,0,1,0.009881847,0.011900016699999998,0.014911824394999915,0.133605094155,2.1100956517289
33,1970-02-03,0,1,0.0,0.009881847,0.014864698399999914,0.015412600155,1.7306673817288998
34,1970-02-04,0,1,0.0,0.009881847,0.011900016699999915,0.014911824394999999,1.7300583947889
