valid_time,number,expver,rain_mm
1970-06-02,0,0001,0.0
1970-06-03,0,0001,0.0
1970-06-04,0,0001,0.0069196285
1970-06-05,0,0001,0.002068878
1970-06-06,0,0001,0.006951636
1970-06-07,0,0001,0.018760268
1970-06-08,0,0001,0.038887132
1970-06-09,0,0001,0.00706967
1970-06-10,0,0001,9.503856e-05
1970-06-11,0,0001,0.00068274525
1970-06-12,0,0001,0.00016503863
1970-06-13,0,0001,0.08431195
1970-06-14,0,0001,0.040511258
1970-06-15,0,0001,0.00017477463
1970-06-16,0,0001,0.00042577068
1970-06-17,0,0001,0.013267327
1970-06-18,0,0001,0.07208633
1970-06-19,0,0001,2.3208773e-05
1970-06-20,0,0001,0.00014325441
1970-06-21,0,0001,0.00055754057
1970-06-22,0,0001,0.0
1970-06-23,0,0001,0.0028696745
1970-06-24,0,0001,0.00027872893
1970-06-25,0,0001,0.0
1970-06-26,0,0001,0.0
1970-06-27,0,0001,0.0
1970-06-28,0,0001,3.1857206e-05
1970-06-29,0,0001,0.0035540124
1970-06-30,0,0001,0.02390264
1970-07-01,0,0001,0.017330835
1970-07-02,0,0001,0.0004434413
1970-07-03,0,0001,0.044338312
1970-07-04,0,0001,0.030973729
1970-07-05,0,0001,0.0008525768
1970-07-06,0,0001,0.0
1970-07-07,0,0001,0.0
1970-07-08,0,0001,0.00012966064
1970-07-09,0,0001,0.00015849639
1970-07-10,0,0001,0.00057407765
1970-07-11,0,0001,0.0
1970-07-12,0,0001,1.453698e-05
1970-07-13,0,0001,0.0
1970-07-14,0,0001,0.0
1970-07-15,0,0001,0.0
1970-07-16,0,0001,0.012015778
1970-07-17,0,0001,0.001244915
1970-07-18,0,0001,0.00016024262
1970-07-19,0,0001,0.0
1970-07-20,0,0001,6.562416e-05
1970-07-21,0,0001,3.3905242e-06
1970-07-22,0,0001,5.378991e-06
1970-07-23,0,0001,1.0836007e-05
1970-07-24,0,0001,0.00023340811
1970-07-25,0,0001,1.6093843e-05
1970-07-26,0,0001,0.021155335
1970-07-27,0,0001,0.0
1970-07-28,0,0001,0.0006356154
1970-07-29,0,0001,0.0018895799
1970-07-30,0,0001,0.22178653
1970-07-31,0,0001,0.003023073
1970-08-01,0,0001,0.0
1970-08-02,0,0001,0.0
1970-08-03,0,0001,0.52770346
1970-08-04,0,0001,0.0
1970-08-05,0,0001,0.00090251904
1970-08-06,0,0001,0.00011920201
1970-08-07,0,0001,1.453698e-05
1970-08-08,0,0001,0.0
1970-08-09,0,0001,0.04837093
1970-08-10,0,0001,0.00015029448
1970-08-11,0,0001,2.7627577e-05
1970-08-12,0,0001,0.0
1970-08-13,0,0001,0.0
1970-08-14,0,0001,0.00018053566
1970-08-15,0,0001,0.004329229
1970-08-16,0,0001,0.0011901322
1970-08-17,0,0001,0.00017021761
1970-08-18,0,0001,0.0006451982
1970-08-19,0,0001,0.006061513
1970-08-20,0,0001,0.037098207
1970-08-21,0,0001,0.020901082
1970-08-22,0,0001,0.08254812
1970-08-23,0,0001,0.0069061485
1970-08-24,0,0001,0.064863876
1970-08-25,0,0001,0.008610371
1970-08-26,0,0001,0.0015103725
1970-08-27,0,0001,3.5426066e-05
1970-08-28,0,0001,0.008928639
1970-08-29,0,0001,0.5801037
1970-08-30,0,0001,0.10866711
1970-08-31,0,0001,0.0031774275
1970-09-01,0,0001,0.0004324094
1970-09-02,0,0001,0.0015800133
1970-09-03,0,0001,0.024824355
1970-09-04,0,0001,0.0009911907
1970-09-05,0,0001,5.361768e-05
1970-09-06,0,0001,0.0
1970-09-07,0,0001,7.0912824e-06
1970-09-08,0,0001,0.00041696444
1970-09-09,0,0001,0.002045209
1970-09-10,0,0001,0.0016500769
1970-09-11,0,0001,0.085347585
1970-09-12,0,0001,0.001915896
