name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Barcelona,1987-09-10,27,17.7,22.3,75.3,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-11,27.1,18.8,23,79.6,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-12,27.4,18.1,23.8,81,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-13,33.1,19.1,24.1,83.5,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-14,28.3,18,23.4,79,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-15,27.1,16.2,22,80.5,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-16,30.1,17.9,23.1,78.4,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-17,29.9,18.1,23.6,67.6,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-18,32.8,18.9,23.9,56.3,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-19,30,17,22.7,64.8,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-20,29,16.8,22.3,64.7,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-21,28.1,18,23.2,82,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-22,30,19,23.6,78.3,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-23,30.1,19.1,24.8,73.2,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-24,25.1,20,22.8,73.7,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-25,28.1,16.2,22.3,80,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-26,29,19.1,23.9,70.6,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-27,27.1,18.7,22.2,74.3,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-28,24.1,20.2,22,79.5,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-29,20.6,17.1,19.3,78.9,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-09-30,24,16.1,19.8,75.5,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-10-01,21.1,17.6,18.9,88.3,68.019,100,8.33,rain,,,Cloudy skies throughout the day with rain.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-10-02,20.1,16.8,18.5,93.3,7.349,100,8.33,rain,,,Partly cloudy throughout the day with rain.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-10-03,21.9,16.2,19.3,92.7,26.213,100,8.33,rain,,,Partly cloudy throughout the day with rain.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-10-04,22.1,17.1,19,92.3,186.756,100,8.33,rain,,,Partly cloudy throughout the day with rain.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-10-05,24,17.1,20.3,82.1,75.918,100,12.5,rain,,,Partly cloudy throughout the day with a chance of rain throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-10-06,23.9,15,19.2,59.7,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1987-10-07,22.6,13,18,68.1,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
