name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Barcelona,2017-10-19,18.4,15.2,16.9,92.6,79.482,100,83.33,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-20,23.2,16.2,19.2,83,11.021,100,45.83,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-21,23.6,15.2,19.8,76.7,0,0,0,,0,0,Partly cloudy throughout the day.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-22,21.6,15.8,18.7,59.6,3.18,100,8.33,rain,0,0,Partly cloudy throughout the day with early morning rain.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-23,21.4,12.6,17,63.1,3.883,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-24,22,12.3,17.5,67,0,0,0,,0,0,Partly cloudy throughout the day.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-25,22.7,13.3,18.5,74.3,0.002,100,4.17,rain,0,0,Clear conditions throughout the day with afternoon rain.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-26,22.8,13.6,18.4,85.6,0,0,0,,0,0,Partly cloudy throughout the day.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-27,22.5,14.7,19,83.4,0.003,100,4.17,rain,0,0,Partly cloudy throughout the day with morning rain.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-28,21.9,14.3,18.7,72.9,0,0,0,,0,0,Partly cloudy throughout the day.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-29,23.1,13.3,17.8,58.4,0,0,0,,0,0,Clear conditions throughout the day.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-30,20.4,11.5,16.8,66.3,0,0,0,,0,0,Partly cloudy throughout the day.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-10-31,19,11.8,16,71.3,2.404,100,16.67,rain,0,0,Clearing in the afternoon with rain clearing later.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-11-01,19.8,9.7,15.6,76.5,0,0,0,,0,0,Partly cloudy throughout the day.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-11-02,21.5,14.4,18.2,80.9,0.306,100,8.33,rain,0,0,Partly cloudy throughout the day with rain clearing later.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-11-03,21.3,13.3,17.6,81.9,0,0,0,,0,0,Clearing in the afternoon.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
Barcelona,2017-11-04,22,15.2,18,82.7,7.267,100,25,rain,0,0,Partly cloudy throughout the day with rain.,"LEBL,08186099999,08180099999,08184099999,LELL,08181099999,08176399999",obs
